num_susceptible,num_removed,num_steps,peak_infected
2293,2293,10390,1568
2489,2489,8957,1449
2466,2466,9052,1501
2712,2712,8600,1374
2504,2504,11496,1474
2595,2595,8937,1433
2237,2237,11615,1658
2504,2504,7158,1521
2297,2297,9907,1587
2547,2547,10278,1450
2475,2475,10534,1424
2528,2528,9926,1453
2297,2297,8204,1612
2966,2966,11955,1117
2355,2355,10202,1589
2772,2772,7815,1305
2394,2394,10156,1502
2639,2639,7894,1454
2383,2383,11005,1600
2458,2458,11603,1475
2366,2366,10451,1622
2729,2729,8677,1298
2580,2580,8058,1484
2370,2370,10784,1638
2626,2626,8324,1488
2276,2276,10258,1625
2712,2712,9490,1417
2291,2291,9731,1574
2570,2570,9391,1446
2683,2683,9520,1329
2642,2642,11730,1397
2705,2705,7271,1346
2517,2517,10201,1435
2690,2690,9202,1320
2194,2194,8295,1726
2411,2411,8324,1552
2578,2578,8182,1450
2678,2678,8438,1372
2506,2506,7953,1483
2632,2632,9106,1432
2705,2705,11963,1417
2352,2352,9485,1590
2435,2435,8442,1564
2703,2703,9927,1412
2280,2280,8756,1639
2473,2473,12656,1528
2258,2258,9802,1603
2713,2713,12514,1328
2658,2658,10099,1429
2480,2480,7712,1561
2587,2587,9342,1385
2368,2368,8673,1597
2659,2659,9655,1445
2639,2639,9497,1384
2882,2882,7221,1223
2582,2582,9297,1454
2351,2351,8785,1566
2626,2626,11402,1453
2388,2388,11620,1605
2349,2349,11580,1568
2647,2647,11486,1429
2314,2314,9790,1627
2924,2924,11923,1194
2612,2612,9557,1444
2255,2255,10650,1677
2450,2450,11039,1498
2516,2516,10428,1444
2472,2472,9981,1452
2234,2234,12398,1657
2442,2442,10541,1508
2579,2579,8280,1438
2649,2649,8075,1357
2514,2514,9964,1498
2452,2452,11061,1477
2439,2439,9851,1545
2718,2718,8394,1434
2686,2686,11114,1294
2692,2692,12405,1370
2403,2403,12504,1568
2267,2267,9142,1575
2383,2383,10104,1590
2347,2347,8157,1600
2720,2720,11630,1353
2538,2538,8403,1529
2319,2319,10407,1637
2480,2480,12116,1608
2614,2614,9203,1470
2462,2462,8838,1504
2549,2549,10905,1412
2482,2482,12472,1479
2573,2573,11776,1446
2616,2616,8235,1387
2631,2631,8478,1427
2933,2933,9349,1201
2559,2559,13901,1425
2359,2359,9127,1558
2202,2202,9228,1694
2321,2321,19214,1522
2407,2407,10358,1518
2491,2491,10971,1491
2443,2443,11584,1491
